,city,cloudiness,country,date,humidity,lat,lon,temp,wind_speed
72,Chabahar,0,IR,<class 'datetime.date'>,71,25.29,60.65,86.89,7.67
73,Tiksi,100,RU,<class 'datetime.date'>,75,71.64,128.87,49.81,11.7
74,Albany,40,US,<class 'datetime.date'>,50,42.65,-73.75,79.0,8.05
75,Brunswick,0,DE,<class 'datetime.date'>,46,52.26,10.53,75.99,11.41
76,Derzhavinsk,100,KZ,<class 'datetime.date'>,49,51.1,66.31,66.55,8.16
77,Port Alfred,0,ZA,<class 'datetime.date'>,74,-33.59,26.89,64.0,1.45
78,Provideniya,100,RU,<class 'datetime.date'>,97,64.42,-173.23,46.39,2.28
79,Tazovskiy,30,RU,<class 'datetime.date'>,68,67.47,78.7,44.05,13.38
80,Vila Franca do Campo,20,PT,<class 'datetime.date'>,63,37.72,-25.43,66.2,12.75
81,Santa Paz,82,BR,<class 'datetime.date'>,52,-5.02,-39.15,85.45,9.93
82,Opuwo,0,NA,<class 'datetime.date'>,14,-18.06,13.84,84.37,10.45
83,Saint-Pierre,0,FR,<class 'datetime.date'>,49,48.95,4.24,96.8,16.11
84,Vila Velha,40,BR,<class 'datetime.date'>,66,-3.71,-38.6,84.2,17.22
85,Atar,0,MR,<class 'datetime.date'>,8,20.52,-13.05,111.73,14.12
86,Sinnamary,100,GF,<class 'datetime.date'>,80,5.38,-52.96,80.77,14.41
87,Kurchum,0,KZ,<class 'datetime.date'>,54,48.57,83.65,66.01,7.78
88,Buraydah,0,SA,<class 'datetime.date'>,12,26.33,43.97,113.0,9.17
89,Coahuayana,100,MX,<class 'datetime.date'>,70,18.62,-100.35,80.77,1.07
90,Bluff,0,AU,<class 'datetime.date'>,80,-23.58,149.07,59.53,19.48
91,Makakilo City,75,US,<class 'datetime.date'>,100,21.35,-158.09,80.6,3.36
92,Portland,90,US,<class 'datetime.date'>,88,43.66,-70.25,66.99,3.36
93,Luderitz,0,NA,<class 'datetime.date'>,76,-26.65,15.16,57.2,11.41
94,Tasiilaq,90,GL,<class 'datetime.date'>,81,65.61,-37.64,44.6,3.36
95,Freeport,40,BS,<class 'datetime.date'>,70,26.54,-78.7,86.0,9.17
96,Berlevag,75,NO,<class 'datetime.date'>,57,70.86,29.09,50.0,20.8
97,Pevek,100,RU,<class 'datetime.date'>,82,69.7,170.27,34.51,24.32
98,Zirandaro,100,MX,<class 'datetime.date'>,63,18.45,-100.98,84.37,1.83
99,Butaritari,37,KI,<class 'datetime.date'>,76,3.07,172.79,83.11,12.01
100,Olonets,100,RU,<class 'datetime.date'>,82,60.98,32.97,53.05,7.7
101,Lorengau,99,PG,<class 'datetime.date'>,82,-2.02,147.27,80.23,7.49
102,Amot,0,NO,<class 'datetime.date'>,33,59.57,7.99,75.2,6.93
103,Mount Isa,95,AU,<class 'datetime.date'>,66,-20.73,139.49,55.4,11.05
104,Qitaihe,100,CN,<class 'datetime.date'>,98,45.77,131.01,56.65,7.87
105,Ribeira Grande,20,PT,<class 'datetime.date'>,52,38.52,-28.7,69.8,14.99
106,Mimongo,7,GA,<class 'datetime.date'>,46,-1.62,11.6,82.21,5.3
107,Ankpa,100,NG,<class 'datetime.date'>,76,7.37,7.63,80.77,6.71
108,Broome,75,GB,<class 'datetime.date'>,77,52.47,1.45,68.0,10.29
109,Laguna,40,BZ,<class 'datetime.date'>,88,16.17,-88.94,82.4,3.87
110,Champerico,40,MX,<class 'datetime.date'>,88,16.38,-93.6,75.2,3.36
111,Kawalu,56,ID,<class 'datetime.date'>,97,-7.38,108.21,65.47,3.31
112,Saint Anthony,1,US,<class 'datetime.date'>,48,43.97,-111.68,63.0,11.41
113,Bredasdorp,33,ZA,<class 'datetime.date'>,23,-34.53,20.04,77.0,3.36
114,Hilo,90,US,<class 'datetime.date'>,88,19.71,-155.08,73.4,8.05
115,Charters Towers,100,AU,<class 'datetime.date'>,91,-20.07,146.27,62.23,11.12
116,Ouadda,11,CF,<class 'datetime.date'>,66,8.07,22.4,82.75,3.56
117,Papara,40,BR,<class 'datetime.date'>,66,-3.98,-38.73,84.2,17.22
118,East London,0,ZA,<class 'datetime.date'>,46,-33.02,27.91,69.8,10.29
119,Khatanga,100,RU,<class 'datetime.date'>,33,71.98,102.47,59.71,11.16
120,Wichian Buri,43,TH,<class 'datetime.date'>,74,15.66,101.11,80.59,12.17
121,Bukachacha,100,RU,<class 'datetime.date'>,79,52.99,116.91,53.05,5.06
122,Bougouni,58,ML,<class 'datetime.date'>,34,11.42,-7.49,99.49,2.66
123,Grand Gaube,40,MU,<class 'datetime.date'>,78,-20.01,57.66,73.4,9.17
124,Bahia Honda,53,CU,<class 'datetime.date'>,75,22.9,-83.16,83.11,11.5
125,Ipixuna,0,BR,<class 'datetime.date'>,62,-1.76,-48.8,87.8,9.17
126,Pisco,90,PE,<class 'datetime.date'>,30,-13.71,-76.2,71.6,5.82
127,Bambanglipuro,24,ID,<class 'datetime.date'>,80,-7.95,110.28,76.09,11.05
128,Marawi,100,PH,<class 'datetime.date'>,87,8.0,124.29,81.0,4.0
129,Qaanaaq,100,GL,<class 'datetime.date'>,54,77.48,-69.36,38.65,2.01
130,Yurimaguas,40,PE,<class 'datetime.date'>,310,-5.9,-76.1,48.2,3.4
131,Cabo San Lucas,5,MX,<class 'datetime.date'>,30,22.89,-109.91,88.0,4.81
132,Ucluelet,90,CA,<class 'datetime.date'>,100,48.94,-125.55,57.0,4.7
133,Mundo Nuevo,75,CL,<class 'datetime.date'>,87,-32.72,-71.41,48.2,4.68
134,Port Lincoln,67,AU,<class 'datetime.date'>,61,-34.72,135.86,62.95,27.18
135,Kavieng,100,PG,<class 'datetime.date'>,74,-2.57,150.8,84.55,14.38
136,Murray Bridge,0,AU,<class 'datetime.date'>,62,-35.12,139.28,64.99,4.0
137,Mana,0,NG,<class 'datetime.date'>,28,13.03,5.27,98.59,4.79
138,Wanning,20,AT,<class 'datetime.date'>,43,48.64,13.53,91.4,16.11
139,Lokosovo,100,RU,<class 'datetime.date'>,82,61.13,74.84,49.45,8.57
140,Soyo,20,AO,<class 'datetime.date'>,57,-6.13,12.37,80.6,9.17
141,Phan Thiet,80,VN,<class 'datetime.date'>,89,10.93,108.1,75.37,6.2
142,Longyearbyen,75,NO,<class 'datetime.date'>,80,78.22,15.63,39.2,8.05
143,Cam Ranh,40,VN,<class 'datetime.date'>,70,11.92,109.15,89.6,5.86
144,Guapiacu,75,BR,<class 'datetime.date'>,60,-20.8,-49.22,73.4,5.82
145,Te Anau,83,NZ,<class 'datetime.date'>,80,-45.41,167.72,43.51,6.4
146,Aksu,75,KZ,<class 'datetime.date'>,77,52.04,76.93,62.6,15.66
147,Cidreira,0,BR,<class 'datetime.date'>,64,-30.17,-50.22,61.51,10.58
148,Luganville,100,VU,<class 'datetime.date'>,98,-15.51,167.18,71.59,0.56
149,College,40,US,<class 'datetime.date'>,66,64.86,-147.8,60.01,5.82
150,Ruwi,0,OM,<class 'datetime.date'>,75,23.6,58.55,91.4,5.82
151,Bethel,75,US,<class 'datetime.date'>,93,60.79,-161.76,57.2,6.93
152,Ndioum,0,SN,<class 'datetime.date'>,15,16.51,-14.65,108.67,7.52
153,Darhan,100,MN,<class 'datetime.date'>,92,49.49,105.92,50.71,11.41
